algo,dist,n,graphs_per_rep,rep,total_time_ns,sum_sq_error
Karger,two_cluster_gnp,30,20,0,25491152,0
Karger,two_cluster_gnp,30,20,1,23529043,0
Karger,two_cluster_gnp,30,20,2,23944730,0
Karger,two_cluster_gnp,30,20,3,23896401,0
Karger,two_cluster_gnp,30,20,4,24571116,0
Karger,two_cluster_gnp,60,20,0,217214429,0
Karger,two_cluster_gnp,60,20,1,218016145,0
Karger,two_cluster_gnp,60,20,2,218588597,0
Karger,two_cluster_gnp,60,20,3,220841762,0
Karger,two_cluster_gnp,60,20,4,217127356,0
Karger,two_cluster_gnp,90,20,0,832968121,0
Karger,two_cluster_gnp,90,20,1,800781579,0
Karger,two_cluster_gnp,90,20,2,821851080,0
Karger,two_cluster_gnp,90,20,3,841128512,0
Karger,two_cluster_gnp,90,20,4,834697589,0
Karger,gnp_sparse,30,20,0,23906443,0
Karger,gnp_sparse,30,20,1,23611223,0
Karger,gnp_sparse,30,20,2,23559542,0
Karger,gnp_sparse,30,20,3,23394495,0
Karger,gnp_sparse,30,20,4,25398859,0
Karger,gnp_sparse,60,20,0,210761929,0
Karger,gnp_sparse,60,20,1,216406801,0
Karger,gnp_sparse,60,20,2,212460503,0
Karger,gnp_sparse,60,20,3,215952089,0
Karger,gnp_sparse,60,20,4,213954165,0
Karger,gnp_sparse,90,20,0,759652850,0
Karger,gnp_sparse,90,20,1,759519788,0
Karger,gnp_sparse,90,20,2,753874502,0
Karger,gnp_sparse,90,20,3,759347340,0
Karger,gnp_sparse,90,20,4,745305476,0
Karger,gnp_dense,30,20,0,23791541,0
Karger,gnp_dense,30,20,1,23941212,0
Karger,gnp_dense,30,20,2,23745584,0
Karger,gnp_dense,30,20,3,24558312,0
Karger,gnp_dense,30,20,4,24413601,0
Karger,gnp_dense,60,20,0,226429278,0
Karger,gnp_dense,60,20,1,223919739,0
Karger,gnp_dense,60,20,2,229439396,0
Karger,gnp_dense,60,20,3,225366923,0
Karger,gnp_dense,60,20,4,224465134,0
Karger,gnp_dense,90,20,0,895082751,0
Karger,gnp_dense,90,20,1,856102160,0
Karger,gnp_dense,90,20,2,861896173,0
Karger,gnp_dense,90,20,3,868767052,0
Karger,gnp_dense,90,20,4,874386252,0
Karger,adversarial_barbell,30,20,0,28407176,0
Karger,adversarial_barbell,30,20,1,27876467,0
Karger,adversarial_barbell,30,20,2,28448023,0
Karger,adversarial_barbell,30,20,3,29567375,0
Karger,adversarial_barbell,30,20,4,29494085,0
Karger,adversarial_barbell,60,20,0,335203182,0
Karger,adversarial_barbell,60,20,1,337224233,0
Karger,adversarial_barbell,60,20,2,337024653,0
Karger,adversarial_barbell,60,20,3,334636881,0
Karger,adversarial_barbell,60,20,4,338305691,0
Karger,adversarial_barbell,90,20,0,1486104507,0
Karger,adversarial_barbell,90,20,1,1484301138,0
Karger,adversarial_barbell,90,20,2,1502100499,0
Karger,adversarial_barbell,90,20,3,1509708548,0
Karger,adversarial_barbell,90,20,4,1515524417,0
StoerWagner,two_cluster_gnp,30,20,0,1029860,0
StoerWagner,two_cluster_gnp,30,20,1,1037159,0
StoerWagner,two_cluster_gnp,30,20,2,1007862,0
StoerWagner,two_cluster_gnp,30,20,3,1075130,0
StoerWagner,two_cluster_gnp,30,20,4,1075296,0
StoerWagner,two_cluster_gnp,60,20,0,7139686,0
StoerWagner,two_cluster_gnp,60,20,1,6969935,0
StoerWagner,two_cluster_gnp,60,20,2,7015107,0
