algo,dist,n,rep,time_ns,swaps
QS,sorted,1024,0,21099,7190
QS,sorted,1024,1,19650,7861
QS,sorted,1024,2,19173,7454
QS,sorted,1024,3,18731,6211
QS,sorted,1024,4,18646,7391
QS,sorted,2048,0,42000,15140
QS,sorted,2048,1,38466,14519
QS,sorted,2048,2,39329,13802
QS,sorted,2048,3,37052,14553
QS,sorted,2048,4,36549,14358
QS,sorted,4096,0,80478,31278
QS,sorted,4096,1,75711,34614
QS,sorted,4096,2,74035,33754
QS,sorted,4096,3,74356,32944
QS,sorted,4096,4,73746,32143
QS,sorted,8192,0,257205,68643
QS,sorted,8192,1,158807,79313
QS,sorted,8192,2,153590,71389
QS,sorted,8192,3,166692,71067
QS,sorted,8192,4,156269,78813
QS,sorted,16384,0,494927,148939
QS,sorted,16384,1,472797,158041
QS,sorted,16384,2,312583,148934
QS,sorted,16384,3,325690,167528
QS,sorted,16384,4,321884,168351
QS,sorted,32768,0,700915,335957
QS,sorted,32768,1,660214,341033
QS,sorted,32768,2,655132,351360
QS,sorted,32768,3,648022,345867
QS,sorted,32768,4,656361,334194
QS,sorted,65536,0,1451679,718834
QS,sorted,65536,1,1460229,733178
QS,sorted,65536,2,1380300,793664
QS,sorted,65536,3,1519266,763489
QS,sorted,65536,4,1382459,684349
QS,sorted,131072,0,2797049,1570303
QS,sorted,131072,1,2730722,1522293
QS,sorted,131072,2,3844014,1674469
QS,sorted,131072,3,2815994,1503652
QS,sorted,131072,4,2732526,1496970
QS,sorted,262144,0,5594477,3093908
QS,sorted,262144,1,6569709,3379435
QS,sorted,262144,2,5890030,3100500
QS,sorted,262144,3,5681440,3301947
QS,sorted,262144,4,5796782,3240314
QS,sorted,524288,0,12087853,7287978
QS,sorted,524288,1,11642032,6665069
QS,sorted,524288,2,12143373,6945180
QS,sorted,524288,3,13163521,7664202
QS,sorted,524288,4,13241701,7979106
QS,sorted,1048576,0,24591512,14431410
QS,sorted,1048576,1,24432387,14529051
QS,sorted,1048576,2,24906644,13781235
QS,sorted,1048576,3,24587269,13959627
QS,sorted,1048576,4,24777054,15525122
QS,almost_sorted,1024,0,25667,6766
QS,almost_sorted,1024,1,24995,6718
QS,almost_sorted,1024,2,24147,6795
QS,almost_sorted,1024,3,24746,7161
QS,almost_sorted,1024,4,25121,7448
QS,almost_sorted,2048,0,62495,14430
QS,almost_sorted,2048,1,52852,14818
QS,almost_sorted,2048,2,55758,13878
QS,almost_sorted,2048,3,50471,15552
QS,almost_sorted,2048,4,50413,15298
QS,almost_sorted,4096,0,115239,31588
QS,almost_sorted,4096,1,106115,31663
QS,almost_sorted,4096,2,114179,41730
QS,almost_sorted,4096,3,102971,33745
QS,almost_sorted,4096,4,102831,30842
QS,almost_sorted,8192,0,238112,85688
QS,almost_sorted,8192,1,275971,73752
QS,almost_sorted,8192,2,213737,77330
QS,almost_sorted,8192,3,209207,64257
QS,almost_sorted,8192,4,223030,67474
QS,almost_sorted,16384,0,445628,147649
QS,almost_sorted,16384,1,451757,170604
QS,almost_sorted,16384,2,455571,160421
QS,almost_sorted,16384,3,435346,142863
QS,almost_sorted,16384,4,448874,175259
QS,almost_sorted,32768,0,951585,318011
QS,almost_sorted,32768,1,957977,335444
QS,almost_sorted,32768,2,919854,317448
QS,almost_sorted,32768,3,939203,365087
QS,almost_sorted,32768,4,920696,336822
QS,almost_sorted,65536,0,1932914,702614
QS,almost_sorted,65536,1,2185457,686607
QS,almost_sorted,65536,2,2006890,770846
QS,almost_sorted,65536,3,1926349,716257
QS,almost_sorted,65536,4,1927510,734292
QS,almost_sorted,131072,0,3983566,1421143
QS,almost_sorted,131072,1,4502753,1558532
QS,almost_sorted,131072,2,4067767,1620070
QS,almost_sorted,131072,3,4007786,1435549
QS,almost_sorted,131072,4,3927340,1523979
QS,almost_sorted,262144,0,8827859,3376672
QS,almost_sorted,262144,1,8243217,3026090
QS,almost_sorted,262144,2,8401675,3161370
QS,almost_sorted,262144,3,8433650,3647523
QS,almost_sorted,262144,4,8337184,3424316
QS,almost_sorted,524288,0,17528149,6830420
QS,almost_sorted,524288,1,17428684,6599768
QS,almost_sorted,524288,2,16935836,6582579
QS,almost_sorted,524288,3,17547758,6759674
QS,almost_sorted,524288,4,18455898,6909168
QS,almost_sorted,1048576,0,36110598,13713157
QS,almost_sorted,1048576,1,38186233,15006511
QS,almost_sorted,1048576,2,37607170,13727758
QS,almost_sorted,1048576,3,36367415,14737476
QS,almost_sorted,1048576,4,37508077,15700937
QS,uniform,1024,0,39894,7889
QS,uniform,1024,1,37030,7309
QS,uniform,1024,2,37030,6598
QS,uniform,1024,3,36742,7499
QS,uniform,1024,4,38235,7203
QS,uniform,2048,0,85997,14558
QS,uniform,2048,1,82604,17470
QS,uniform,2048,2,83303,13808
QS,uniform,2048,3,80963,13924
QS,uniform,2048,4,79554,15465
QS,uniform,4096,0,192302,34453
QS,uniform,4096,1,173756,32805
QS,uniform,4096,2,168959,37013
QS,uniform,4096,3,170051,35478
QS,uniform,4096,4,171294,32075
QS,uniform,8192,0,389984,70231
QS,uniform,8192,1,369246,73532
QS,uniform,8192,2,368915,86551
QS,uniform,8192,3,362883,76615
QS,uniform,8192,4,357405,77707
QS,uniform,16384,0,795480,146893
QS,uniform,16384,1,787644,163364
QS,uniform,16384,2,813203,167209
QS,uniform,16384,3,825611,157836
QS,uniform,16384,4,769891,156419
QS,uniform,32768,0,1681211,309658
QS,uniform,32768,1,1653519,318516
QS,uniform,32768,2,1613241,368849
QS,uniform,32768,3,1695297,322115
QS,uniform,32768,4,1633703,318722
QS,uniform,65536,0,3675216,746628
QS,uniform,65536,1,3613206,751024
QS,uniform,65536,2,4856086,709299
QS,uniform,65536,3,4808547,710572
QS,uniform,65536,4,4012588,699180
QS,uniform,131072,0,7394759,1611034
QS,uniform,131072,1,7587255,1498870
QS,uniform,131072,2,7325390,1565655
QS,uniform,131072,3,7348835,1536244
QS,uniform,131072,4,7286447,1568769
QS,uniform,262144,0,15803780,3309306
QS,uniform,262144,1,16208061,3104361
QS,uniform,262144,2,17338064,3431031
QS,uniform,262144,3,16032503,3335272
QS,uniform,262144,4,15996266,2923320
QS,uniform,524288,0,33309584,6762493
QS,uniform,524288,1,32889614,7115703
QS,uniform,524288,2,32354101,7597059
QS,uniform,524288,3,34174206,6944413
QS,uniform,524288,4,34865950,7082875
QS,uniform,1048576,0,70628000,15006899
QS,uniform,1048576,1,71703261,16195318
QS,uniform,1048576,2,69184642,13322856
QS,uniform,1048576,3,67945217,14163952
QS,uniform,1048576,4,64492815,14318536
QS,normal,1024,0,41723,6480
QS,normal,1024,1,39924,6581
QS,normal,1024,2,37885,6840
QS,normal,1024,3,36974,6337
QS,normal,1024,4,37939,7415
QS,normal,2048,0,84864,13099
QS,normal,2048,1,79492,14450
QS,normal,2048,2,80414,14478
QS,normal,2048,3,85221,13828
QS,normal,2048,4,79213,14714
QS,normal,4096,0,170051,32642
QS,normal,4096,1,165825,34933
QS,normal,4096,2,168144,33163
QS,normal,4096,3,168868,30706
QS,normal,4096,4,175711,32211
QS,normal,8192,0,360626,64925
QS,normal,8192,1,350772,72833
QS,normal,8192,2,349664,73403
QS,normal,8192,3,351278,79000
QS,normal,8192,4,351190,65940
QS,normal,16384,0,776597,142867
QS,normal,16384,1,781935,138423
QS,normal,16384,2,735206,151127
QS,normal,16384,3,851858,148695
QS,normal,16384,4,762104,153079
QS,normal,32768,0,1466610,315784
QS,normal,32768,1,1495425,309775
QS,normal,32768,2,1506687,337173
QS,normal,32768,3,1483591,335395
QS,normal,32768,4,1534259,314284
QS,normal,65536,0,3130944,575334
QS,normal,65536,1,3240227,605626
QS,normal,65536,2,3285525,613585
QS,normal,65536,3,3460448,599403
QS,normal,65536,4,3158636,608772
QS,normal,131072,0,6938292,1241483
QS,normal,131072,1,6729986,1247634
QS,normal,131072,2,6770058,1204658
QS,normal,131072,3,6804979,1210745
QS,normal,131072,4,7844386,1290440
QS,normal,262144,0,15752903,2423504
QS,normal,262144,1,15557920,2536393
QS,normal,262144,2,15994977,2416991
QS,normal,262144,3,15551327,2588068
QS,normal,262144,4,16160682,2506680
QS,normal,524288,0,37722144,4923125
QS,normal,524288,1,37221174,5815652
QS,normal,524288,2,36981277,5251883
QS,normal,524288,3,37229459,5024865
QS,normal,524288,4,36105592,5476711
QS,normal,1048576,0,92462338,10333680
QS,normal,1048576,1,90038723,10717519
QS,normal,1048576,2,88289539,10193418
QS,normal,1048576,3,95911192,10456893
QS,normal,1048576,4,94990095,10856377
QS,stock,1024,0,34433,7042
QS,stock,1024,1,32827,6443
QS,stock,1024,2,32770,7436
QS,stock,1024,3,31448,6314
QS,stock,1024,4,32293,6433
QS,stock,2048,0,64111,14228
QS,stock,2048,1,62926,14838
QS,stock,2048,2,63151,14724
QS,stock,2048,3,61646,15409
QS,stock,2048,4,61946,14533
QS,stock,4096,0,136438,32991
QS,stock,4096,1,132359,32644
QS,stock,4096,2,133060,33696
QS,stock,4096,3,153323,32569
QS,stock,4096,4,130113,32305
QS,stock,8192,0,285861,70896
QS,stock,8192,1,275966,76723
QS,stock,8192,2,268702,70535
QS,stock,8192,3,272840,73413
QS,stock,8192,4,268566,66376
QS,stock,16384,0,566186,150666
QS,stock,16384,1,564711,160690
QS,stock,16384,2,554354,150652
QS,stock,16384,3,562554,157052
QS,stock,16384,4,593326,144450
QS,stock,32768,0,1234917,327255
QS,stock,32768,1,1344038,358607
QS,stock,32768,2,1204729,322360
QS,stock,32768,3,1224700,317378
QS,stock,32768,4,1206669,331920
QS,stock,65536,0,2472075,698797
QS,stock,65536,1,2543473,663735
QS,stock,65536,2,2502432,785597
QS,stock,65536,3,2519344,796628
QS,stock,65536,4,2397134,648064
QS,stock,131072,0,5247907,1381565
QS,stock,131072,1,5530618,1359471
QS,stock,131072,2,5080950,1477499
QS,stock,131072,3,5338348,1522766
QS,stock,131072,4,5096272,1450737
QS,stock,262144,0,10748223,3112115
QS,stock,262144,1,11008519,2916869
QS,stock,262144,2,10993136,2969503
QS,stock,262144,3,10952284,3193541
QS,stock,262144,4,11197595,3500030
QS,stock,524288,0,22832977,6565848
QS,stock,524288,1,21792723,6368230
QS,stock,524288,2,23693123,6435071
QS,stock,524288,3,23591010,6392636
QS,stock,524288,4,22321275,6612797
QS,stock,1007339,0,45150478,13626393
QS,stock,1007339,1,44241728,13776766
QS,stock,1007339,2,44507123,12963955
QS,stock,1007339,3,43618020,13351255
QS,stock,1007339,4,42851565,12556879
QS_small,sorted,1024,0,20463,6193
QS_small,sorted,1024,1,18475,5943
QS_small,sorted,1024,2,18660,7245
QS_small,sorted,1024,3,18697,6275
QS_small,sorted,1024,4,18246,6906
QS_small,sorted,2048,0,41576,15340
QS_small,sorted,2048,1,38943,16233
QS_small,sorted,2048,2,37402,13817
QS_small,sorted,2048,3,37183,14554
QS_small,sorted,2048,4,37331,15739
QS_small,sorted,4096,0,78869,30699
QS_small,sorted,4096,1,74539,32468
QS_small,sorted,4096,2,75477,35971
QS_small,sorted,4096,3,125466,38344
QS_small,sorted,4096,4,75896,33261
QS_small,sorted,8192,0,161023,69234
QS_small,sorted,8192,1,151862,64552
QS_small,sorted,8192,2,153073,69413
QS_small,sorted,8192,3,154904,70141
QS_small,sorted,8192,4,155429,74408
