density,sparsity_pct,rank,n,trial,rel_error,online_runtime_sec,speedup_online
0.1,90.0,8,512,0,0.9988813623021866,0.0040206999983638525,345.77190552022364
0.1,90.0,16,512,0,0.9950366441155911,0.004504200012888759,308.6552764045215
0.1,90.0,32,512,0,0.9841826319321588,0.00738730002194643,188.19394038813155
0.1,90.0,64,512,0,0.9437976381276985,0.010404400003608316,133.6208814998734
0.1,90.0,128,512,0,0.8152974506267006,0.01774809998460114,78.33205251072812
0.1,90.0,8,512,1,0.9989494594519474,0.002439300005789846,422.79953165180257
0.1,90.0,16,512,1,0.9950131645573406,0.002743000048212707,375.9879263138135
0.1,90.0,32,512,1,0.983321844037258,0.003795200027525425,271.74717867997197
0.1,90.0,64,512,1,0.9412600006377032,0.012349299970082939,83.51363255444994
0.1,90.0,128,512,1,0.8127465244143595,0.009027099993545562,114.24875106552466
0.1,90.0,8,512,2,0.9992357529571896,0.0027987000066787004,425.3672051920393
0.1,90.0,16,512,2,0.9956478791905329,0.004427999956533313,268.85167382519245
0.1,90.0,32,512,2,0.9838258215239329,0.004347099980805069,273.8550310019298
0.1,90.0,64,512,2,0.942093619707088,0.0044729000073857605,266.15287577323863
0.1,90.0,128,512,2,0.8165982157708228,0.005928400030825287,200.80885126203867
0.1,90.0,8,512,3,0.9988748519583309,0.004675599979236722,173.13455035266452
0.1,90.0,16,512,3,0.9964765563426703,0.00420919997850433,192.31870763282737
0.1,90.0,32,512,3,0.9837422098508782,0.004910700023174286,164.84572387111726
0.1,90.0,64,512,3,0.9433153704973545,0.003765400033444166,214.98589601212447
0.1,90.0,128,512,3,0.8166196868116641,0.006140800018329173,131.82450130566755
0.1,90.0,8,512,4,0.9986172537568017,0.009956300025805831,119.20288630557661
0.1,90.0,16,512,4,0.9956952662785707,0.003293100045993924,360.39588333920045
0.1,90.0,32,512,4,0.9844307748956286,0.005453399964608252,217.62931523501373
0.1,90.0,64,512,4,0.942632754429865,0.005425999988801777,218.72829016765758
0.1,90.0,128,512,4,0.8156179383306934,0.016429899958893657,72.23535766922947
0.05,95.0,8,512,0,0.9989190772635358,0.002220700029283762,481.7238645063439
0.05,95.0,16,512,0,0.9948650134301192,0.002344599983189255,456.2672556880139
0.05,95.0,32,512,0,0.9822227509093836,0.00246229994809255,434.4573051892522
0.05,95.0,64,512,0,0.9392841793492872,0.0033802000107243657,316.47955642325377
