workload,n,trial,method,config,runtime_sec,rel_error,speedup_vs_numpy,speedup_vs_naive
NN-Like,256,0,NumPy GEMM,optimized,0.002073100011330098,0.0,1.0,18.196806611666965
NN-Like,256,0,Naive GEMM,outer-product,0.037723799992818385,7.23972150096984e-16,0.05495469734556862,1.0
NN-Like,256,0,Strassen,thresh=64,0.0077927999664098024,1.351745001855931e-15,0.2660276178351835,4.84085311510928
NN-Like,256,0,RMM-Uniform,s/n=0.5%,0.0016497999895364046,35.00381138724555,1.2565765695711035,22.865680829237252
NN-Like,256,0,RMM-Importance,s/n=0.5%,0.0030984999611973763,13.694447031962614,0.6690656889758277,12.174858952794855
NN-Like,256,0,RMM-Uniform,s/n=1.0%,0.0022629000013694167,9.80702016369039,0.916125330361722,16.670555468641766
NN-Like,256,0,RMM-Importance,s/n=1.0%,0.0014746999950148165,10.750790458493318,1.405777458695434,25.580660554921458
NN-Like,256,0,RMM-Uniform,s/n=2.0%,0.0010078000486828387,3.9186933466115894,2.0570548830986572,37.43182989733146
NN-Like,256,0,RMM-Importance,s/n=2.0%,0.0019017999875359237,3.2368815709054655,1.0900725759369259,19.835839857005894
NN-Like,256,0,RMM-Uniform,s/n=5.0%,0.0015137000009417534,4.68790648656295,1.3695580432320222,24.92158285614613
NN-Like,256,0,RMM-Importance,s/n=5.0%,0.0025652999756857753,4.861904864804664,0.8081316146178582,14.705414707975342
NN-Like,256,0,RMM-Uniform,s/n=10.0%,0.001581599994096905,4.005828494173344,1.3107612664818198,23.85166928023334
NN-Like,256,0,RMM-Importance,s/n=10.0%,0.0014322999631986022,2.032817125174404,1.44739235118073,26.3379187056417
NN-Like,256,0,RMM-Uniform,s/n=20.0%,0.0018420000560581684,3.38698623153807,1.125461426839735,20.479803933093425
NN-Like,256,0,RMM-Importance,s/n=20.0%,0.002004500012844801,1.0005808615854253,1.034222997278977,18.819555874824115
NN-Like,256,0,LR-GEMM-RSVD,r=8,0.00957270001526922,0.07958102230365885,0.2165637707254315,3.9407690549840604
NN-Like,256,0,LR-GEMM-Det,r=8,0.20281300001079217,0.07958102230365888,0.01022173140390302,0.18600286959322632
NN-Like,256,0,LR-GEMM-RSVD,r=16,0.008762100012972951,5.222059501997567e-13,0.23659853325809072,4.305337754301531
NN-Like,256,0,LR-GEMM-Det,r=16,0.21076089999405667,1.9107103778758068e-15,0.009836264750191132,0.1789886074403847
NN-Like,256,0,LR-GEMM-RSVD,r=32,0.04734649998135865,1.6049779909097676e-13,0.04378570775339936,0.7967600563435749
NN-Like,256,0,LR-GEMM-Det,r=32,0.212682000012137,2.2667263105566474e-15,0.00974741638320024,0.17737185088848903
NN-Like,256,0,LR-GEMM-RSVD,r=64,0.17777960002422333,6.040077615349871e-14,0.011661068036195536,0.21219419994014124
NN-Like,256,0,LR-GEMM-Det,r=64,0.21147340000607073,2.3968000274032894e-15,0.009803124228723734,0.17838555578023266
NN-Like,256,0,LR-GEMM-RSVD,r=128,0.382295899966266,3.830953465503579e-14,0.005422762869057789,0.09867696722917288
NN-Like,256,0,LR-GEMM-Det,r=128,0.240555000025779,2.6908475726058907e-15,0.008617987616586373,0.15681985404076293
NN-Like,256,1,NumPy GEMM,optimized,0.003792600007727742,0.0,1.0,13.981121094342086
NN-Like,256,1,Naive GEMM,outer-product,0.05302479997044429,7.23972150096984e-16,0.07152502243934376,1.0
NN-Like,256,1,Strassen,thresh=64,0.01169279997702688,1.351745001855931e-15,0.32435344957402445,4.534824855862015
NN-Like,256,1,RMM-Uniform,s/n=0.5%,0.001954499981366098,9.665393506712476,1.9404451490845778,27.12959860628016
NN-Like,256,1,RMM-Importance,s/n=0.5%,0.0022391999955289066,13.367297490799334,1.693729910370028,23.680242977992528
NN-Like,256,1,RMM-Uniform,s/n=1.0%,0.0006122000049799681,8.217939452965755,6.195034264744641,86.6135242389933
NN-Like,256,1,RMM-Importance,s/n=1.0%,0.0017848999705165625,4.869561909879504,2.12482495959151,29.707435064329427
NN-Like,256,1,RMM-Uniform,s/n=2.0%,0.001774100004695356,6.165508477350715,2.1377599896793855,29.888281286346977
NN-Like,256,1,RMM-Importance,s/n=2.0%,0.0020806000102311373,5.982203688466935,1.8228395602605116,25.485340627559488
NN-Like,256,1,RMM-Uniform,s/n=5.0%,0.0021339000086300075,6.127489414920187,1.7773091486899812,24.84877442991667
NN-Like,256,1,RMM-Importance,s/n=5.0%,0.002321199979633093,1.8720665341823928,1.6338962782203843,22.843701721394037
NN-Like,256,1,RMM-Uniform,s/n=10.0%,0.001919899950735271,5.261552347602545,1.9754154409323654,27.618522491308568
NN-Like,256,1,RMM-Importance,s/n=10.0%,0.0019375999690964818,2.153875770065459,1.957369977403675,27.36622668051041
NN-Like,256,1,RMM-Uniform,s/n=20.0%,0.002323900000192225,2.2269629124533754,1.6319979376969884,22.817160792658147
NN-Like,256,1,RMM-Importance,s/n=20.0%,0.0037620000075548887,1.8727654147429498,1.0081339713214785,14.094843132365583
NN-Like,256,1,LR-GEMM-RSVD,r=8,0.008228300022892654,0.07958102230365895,0.46092145366309284,6.444198658643885
NN-Like,256,1,LR-GEMM-Det,r=8,0.238698499975726,0.07958102230365888,0.015888662928813642,0.22214132043492751
NN-Like,256,1,LR-GEMM-RSVD,r=16,0.01013419998344034,3.864379168904081e-13,0.37423773104191665,5.232263035768861
NN-Like,256,1,LR-GEMM-Det,r=16,0.2638089999672957,1.9107103778758068e-15,0.014376310164542945,0.2009969333002959
NN-Like,256,1,LR-GEMM-RSVD,r=32,0.053276199963875115,2.5841363475677034e-13,0.07118750981300061,0.995281195100227
NN-Like,256,1,LR-GEMM-Det,r=32,0.22448790003545582,2.2667263105566474e-15,0.016894451803989147,0.23620337649409837
NN-Like,256,1,LR-GEMM-RSVD,r=64,0.17423830000916496,7.906066116675243e-14,0.02176674133946584,0.3043234464962937
NN-Like,256,1,LR-GEMM-Det,r=64,0.22345420002238825,2.3968000274032894e-15,0.01697260560485216,0.23729605424794722
NN-Like,256,1,LR-GEMM-RSVD,r=128,0.4173182000522502,5.251907254021151e-14,0.009088029247832688,0.12706083742287141
NN-Like,256,1,LR-GEMM-Det,r=128,0.24140939995413646,2.6908475726058907e-15,0.01571024164116339,0.2196467908064809
NN-Like,256,2,NumPy GEMM,optimized,0.004823199997190386,0.0,1.0,7.9467573443997725
NN-Like,256,2,Naive GEMM,outer-product,0.03832880000118166,7.23972150096984e-16,0.125837490269502,1.0
NN-Like,256,2,Strassen,thresh=64,0.009278099983930588,1.351745001855931e-15,0.5198478142662867,4.131104435990783
NN-Like,256,2,RMM-Uniform,s/n=0.5%,0.0013563000247813761,11.000515448973205,3.556145328514496,28.259824007125513
NN-Like,256,2,RMM-Importance,s/n=0.5%,0.0010999999940395355,14.589045952070967,4.38472729393218,34.84436382624568
NN-Like,256,2,RMM-Uniform,s/n=1.0%,0.0007274000090546906,23.645703836350428,6.630739534164271,52.69287809192185
NN-Like,256,2,RMM-Importance,s/n=1.0%,0.0017398999771103263,6.461103367452588,2.77211337470151,22.02931231991806
NN-Like,256,2,RMM-Uniform,s/n=2.0%,0.0019039999460801482,6.981307196313891,2.5331933475734223,20.130672839613737
NN-Like,256,2,RMM-Importance,s/n=2.0%,0.0022209000308066607,3.01164046326652,2.1717321492577653,17.25822840718325
NN-Like,256,2,RMM-Uniform,s/n=5.0%,0.001631599967367947,3.9450775577868056,2.95611675266888,23.491542515174626
NN-Like,256,2,RMM-Importance,s/n=5.0%,0.0017359000048600137,4.0082559238457085,2.7785010563320656,22.080073675829368
NN-Like,256,2,RMM-Uniform,s/n=10.0%,0.0015805999864824116,3.884369662261912,3.0514994549154117,24.24952570478095
