matrix_type,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
Dense Gaussian,rmm_uniform,512,0,3,0.005,13.239165111354598,0.005228099995292723,113.89541144024086
Dense Gaussian,rmm_importance,512,0,3,0.005,13.00478641065577,0.006498200003989041,91.63408323059522
Dense Gaussian,rmm_uniform,512,0,5,0.01,10.154507247456493,0.003466000023763627,171.79936408886613
Dense Gaussian,rmm_importance,512,0,5,0.01,10.053294380117489,0.007658099988475442,77.7551352046434
Dense Gaussian,rmm_uniform,512,0,10,0.02,7.268457155494735,0.0037422000314109027,159.1193936765812
Dense Gaussian,rmm_importance,512,0,10,0.02,7.075541448148552,0.007416600012220442,80.28700469668625
Dense Gaussian,rmm_uniform,512,0,26,0.05,4.302966642945191,0.004553399980068207,130.77186335949042
Dense Gaussian,rmm_importance,512,0,26,0.05,4.4892101159136075,0.008681900042574853,68.58597738911392
Dense Gaussian,rmm_uniform,512,0,51,0.1,3.2600215155033068,0.0037555000162683427,158.55587736257345
Dense Gaussian,rmm_importance,512,0,51,0.1,3.3165458503250735,0.010110800038091838,58.893123963607096
Dense Gaussian,rmm_uniform,512,0,102,0.2,2.26956130720118,0.0056779999868012965,104.87083504733094
Dense Gaussian,rmm_importance,512,0,102,0.2,2.281920958907906,0.009927199978847057,59.98233150167105
Dense Gaussian,rmm_uniform,512,1,3,0.005,12.858567520589888,0.0037208000430837274,257.52845863055745
Dense Gaussian,rmm_importance,512,1,3,0.005,13.032195610869055,0.008627499977592379,111.06483946178649
Dense Gaussian,rmm_uniform,512,1,5,0.01,10.007545104274271,0.004849100019782782,197.60613228406615
Dense Gaussian,rmm_importance,512,1,5,0.01,10.081089381256366,0.009993899962864816,95.87967695578038
Dense Gaussian,rmm_uniform,512,1,10,0.02,7.251071266469383,0.004082100000232458,234.73503831687074
Dense Gaussian,rmm_importance,512,1,10,0.02,7.084919828799857,0.00991329998942092,96.65922558486375
Dense Gaussian,rmm_uniform,512,1,26,0.05,4.524388505998411,0.006189200037624687,154.81999194448562
Dense Gaussian,rmm_importance,512,1,26,0.05,4.3242831819118805,0.01179210003465414,81.25880014178223
Dense Gaussian,rmm_uniform,512,1,51,0.1,3.191651692920516,0.006870499986689538,139.46756448937367
