rank,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
5,rmm_uniform,512,0,3,0.005,3.3222722808028244,0.002438399998936802,205.9405348731182
5,rmm_importance,512,0,3,0.005,6.010631501220474,0.0050823999918065965,98.80477743294571
5,rmm_uniform,512,0,5,0.01,6.639156167735486,0.002333999960683286,215.15227441076962
5,rmm_importance,512,0,5,0.01,12.830739353621896,0.004389699955936521,114.39629247018122
5,rmm_uniform,512,0,10,0.02,3.6854805846903216,0.0023203000309877098,216.4226148813579
5,rmm_importance,512,0,10,0.02,4.379864575389665,0.004539199988357723,110.62861325864137
5,rmm_uniform,512,0,26,0.05,2.042807733048833,0.002492200001142919,201.49482376429003
5,rmm_importance,512,0,26,0.05,3.875923581672492,0.005766099959146231,87.08926372653623
5,rmm_uniform,512,0,51,0.1,3.1237278280413348,0.0030996999703347683,162.00451812161094
5,rmm_importance,512,0,51,0.1,3.3172521935790735,0.005521100014448166,90.95386765346386
5,rmm_uniform,512,0,102,0.2,3.3712973405575144,0.0042489999905228615,118.18437306088623
5,rmm_importance,512,0,102,0.2,1.447439802163369,0.005686499993316829,88.30834443081608
5,rmm_uniform,512,1,3,0.005,2.335907730999196,0.0027271999861113727,202.68205588981303
5,rmm_importance,512,1,3,0.005,5.722699221517459,0.005239900026936084,105.4895126178454
5,rmm_uniform,512,1,5,0.01,13.099739117508731,0.002796499989926815,197.6593963879071
5,rmm_importance,512,1,5,0.01,3.770590438076566,0.004763800010550767,116.03226390349997
5,rmm_uniform,512,1,10,0.02,7.32993934275708,0.0038598999963141978,143.20435776459118
5,rmm_importance,512,1,10,0.02,3.9152993922382286,0.005743200017604977,96.24503731601388
5,rmm_uniform,512,1,26,0.05,3.8047728774086123,0.003694100014399737,149.6317094429131
5,rmm_importance,512,1,26,0.05,3.21705246495132,0.006848399993032217,80.71294033206483
5,rmm_uniform,512,1,51,0.1,1.658299740576209,0.003454499994404614,160.00998723492262
5,rmm_importance,512,1,51,0.1,0.6483998900906899,0.006007300049532205,92.0137991194174
5,rmm_uniform,512,1,102,0.2,2.408500978979879,0.005009899963624775,110.33244256793347
5,rmm_importance,512,1,102,0.2,1.1074145999226952,0.006556700041983277,84.30376507517109
5,rmm_uniform,512,2,3,0.005,24.634665278145636,0.0024973999825306237,208.9638038266165
5,rmm_importance,512,2,3,0.005,14.40181607341167,0.004183900018688291,124.73199591173231
5,rmm_uniform,512,2,5,0.01,11.745862852550491,0.0026835999451577663,194.46497640893517
5,rmm_importance,512,2,5,0.01,14.26537400911656,0.0044911999721080065,116.1974980555541
5,rmm_uniform,512,2,10,0.02,24.931088167459524,0.002457300026435405,212.3738226557346
5,rmm_importance,512,2,10,0.02,6.249371073565499,0.0044037000043317676,118.50630140853895
5,rmm_uniform,512,2,26,0.05,9.503325222419644,0.0032535000354982913,160.4014735921766
5,rmm_importance,512,2,26,0.05,3.9866329605372632,0.006681400001980364,78.10731281938573
5,rmm_uniform,512,2,51,0.1,2.9910493984265765,0.004607000038959086,113.27679522747218
5,rmm_importance,512,2,51,0.1,1.33006023362079,0.005836199969053268,89.41883465154474
5,rmm_uniform,512,2,102,0.2,2.6894698107685717,0.003992800018750131,130.7018126566441
5,rmm_importance,512,2,102,0.2,3.5928728086608337,0.006319099979009479,82.58552669836494
5,rmm_uniform,512,3,3,0.005,2.9213083312914514,0.002731500018853694,181.49511133432395
5,rmm_importance,512,3,3,0.005,16.003640024706733,0.004708399996161461,105.29137295805883
5,rmm_uniform,512,3,5,0.01,5.355597476955892,0.0020939999958500266,236.74971395132005
5,rmm_importance,512,3,5,0.01,7.086205057969169,0.004131200024858117,120.00239568370584
5,rmm_uniform,512,3,10,0.02,13.007543123720959,0.0027211999986320734,182.18208888753892
5,rmm_importance,512,3,10,0.02,7.093175015060786,0.004123799968510866,120.21773699430418
5,rmm_uniform,512,3,26,0.05,5.99623954766837,0.0026920000091195107,184.15820889752095
5,rmm_importance,512,3,26,0.05,2.8368064705433667,0.005548499990254641,89.34917561544543
5,rmm_uniform,512,3,51,0.1,1.5484718505399013,0.003902599972207099,127.03169773026663
5,rmm_importance,512,3,51,0.1,1.0346876759012835,0.004742199962493032,104.54091011610049
5,rmm_uniform,512,3,102,0.2,0.8345378871829767,0.004019099986180663,123.3494816591195
5,rmm_importance,512,3,102,0.2,1.4406003204032953,0.005250999995041639,94.41133127017419
5,rmm_uniform,512,4,3,0.005,14.835442519944516,0.0021865000016987324,227.36322871519013
5,rmm_importance,512,4,3,0.005,20.223933834877297,0.0038914000033400953,127.75086075584429
5,rmm_uniform,512,4,5,0.01,28.6473262254648,0.0020671000238507986,240.4961996207083
5,rmm_importance,512,4,5,0.01,7.742311766408908,0.00422850000904873,117.56644174250101
5,rmm_uniform,512,4,10,0.02,4.151053741887549,0.0024902999866753817,199.62643160741217
5,rmm_importance,512,4,10,0.02,5.376951573353502,0.004114999959710985,120.80916277989664
5,rmm_uniform,512,4,26,0.05,8.718856748549795,0.002815700019709766,176.55634353521623
5,rmm_importance,512,4,26,0.05,4.771702711513292,0.00564200000371784,88.11231826380805
5,rmm_uniform,512,4,51,0.1,2.918367761017021,0.005066299985628575,98.12480535739806
5,rmm_importance,512,4,51,0.1,2.1378913863865336,0.01297129999147728,38.32535677215304
5,rmm_uniform,512,4,102,0.2,2.1636312911388225,0.0035449000424705446,140.23800220486
5,rmm_importance,512,4,102,0.2,2.0480368268539655,0.007408800011035055,67.09989461607029
5,rmm_uniform,512,5,3,0.005,6.855359593963143,0.0022979999775998294,218.21283937909902
5,rmm_importance,512,5,3,0.005,5.147641428099776,0.003797000041231513,132.06560299180936
5,rmm_uniform,512,5,5,0.01,5.95423904495732,0.0036563999601639807,137.14394088951795
5,rmm_importance,512,5,5,0.01,3.8882575499153615,0.004079500038642436,122.92023415987926
5,rmm_uniform,512,5,10,0.02,6.777345786265919,0.002320700034033507,216.07837835621137
5,rmm_importance,512,5,10,0.02,6.718252698236758,0.00403000001097098,124.43004929033378
5,rmm_uniform,512,5,26,0.05,2.643936545139909,0.0037667000433430076,133.127961938832
5,rmm_importance,512,5,26,0.05,2.7964755681359073,0.004329000017605722,115.83578146587946
5,rmm_uniform,512,5,51,0.1,4.037473140123285,0.00347729999339208,144.2076038760179
5,rmm_importance,512,5,51,0.1,0.9838946870890283,0.021405700012110174,23.426148162474014
5,rmm_uniform,512,5,102,0.2,0.724549709364621,0.00427289999788627,117.35661968527813
5,rmm_importance,512,5,102,0.2,0.6225187943160163,0.006580500048585236,76.20288675675549
5,rmm_uniform,512,6,3,0.005,32.18232428518839,0.0026304000057280064,185.6040522126966
5,rmm_importance,512,6,3,0.005,9.591234584937453,0.004056399979162961,120.3562031632199
5,rmm_uniform,512,6,5,0.01,4.6991942666968365,0.002353499992750585,207.44121585181466
5,rmm_importance,512,6,5,0.01,4.119732212333485,0.004565100010950118,106.94462308215856
5,rmm_uniform,512,6,10,0.02,5.359142370742185,0.0024824999854899943,196.66179369868362
5,rmm_importance,512,6,10,0.02,4.573291001429292,0.004177500028163195,116.86724038589192
5,rmm_uniform,512,6,26,0.05,7.998207120799579,0.002848199976142496,171.4110329656828
5,rmm_importance,512,6,26,0.05,2.731706448348466,0.00645540002733469,75.62860518885489
5,rmm_uniform,512,6,51,0.1,4.2806948469868065,0.003193399985320866,152.88185076958462
5,rmm_importance,512,6,51,0.1,2.6043070162604813,0.005586899991612881,87.38529430208688
5,rmm_uniform,512,6,102,0.2,1.5403515960764522,0.006420699995942414,76.0373324266741
5,rmm_importance,512,6,102,0.2,2.0847393162880556,0.006265299976803362,77.92330803169475
5,rmm_uniform,512,7,3,0.005,16.372866393824644,0.0020672999671660364,241.37619502317594
5,rmm_importance,512,7,3,0.005,12.481269876624895,0.005119199980981648,97.47558249333868
5,rmm_uniform,512,7,5,0.01,10.338766365855335,0.0026845000102184713,185.88079647854602
5,rmm_importance,512,7,5,0.01,15.308213076850567,0.0043607999687083066,114.42785810555766
5,rmm_uniform,512,7,10,0.02,39.152051660336234,0.0032276000129058957,154.60311006654567
5,rmm_importance,512,7,10,0.02,1.420852110477834,0.003882799996063113,128.51473177913422
5,rmm_uniform,512,7,26,0.05,17.793261526299975,0.0025881999754346907,192.79692635120568
5,rmm_importance,512,7,26,0.05,3.027829917998398,0.005055000016000122,98.71355063632949
5,rmm_uniform,512,7,51,0.1,5.447908430646096,0.0030256000463850796,164.92497104574844
5,rmm_importance,512,7,51,0.1,5.668985857840061,0.004654499993193895,107.2074338330088
5,rmm_uniform,512,7,102,0.2,7.223851308897627,0.004624499997589737,107.90290848873364
5,rmm_importance,512,7,102,0.2,2.8969389375299786,0.006803700001910329,73.34200507164735
5,rmm_uniform,512,8,3,0.005,9.03680365174575,0.002213300031144172,227.4875041305926
5,rmm_importance,512,8,3,0.005,21.640243956788346,0.0039592000539414585,127.1716743577806
5,rmm_uniform,512,8,5,0.01,15.12427741039646,0.0020724000059999526,242.95411046102944
5,rmm_importance,512,8,5,0.01,16.603267159052713,0.004515400039963424,111.50686440203624
5,rmm_uniform,512,8,10,0.02,4.990161111462997,0.0029760999605059624,169.18050692475785
5,rmm_importance,512,8,10,0.02,5.289857064122179,0.0054506000014953315,92.37480274447209
5,rmm_uniform,512,8,26,0.05,10.039425862921043,0.0023041999666020274,218.51319645649176
5,rmm_importance,512,8,26,0.05,6.618725124281483,0.005097399989608675,98.77547396781861
5,rmm_uniform,512,8,51,0.1,4.027690672645492,0.0029555000364780426,170.359700139659
5,rmm_importance,512,8,51,0.1,2.2386822823367494,0.005876199982594699,85.68430303061702
5,rmm_uniform,512,8,102,0.2,3.548043036728037,0.0036466000019572675,138.07330107686727
5,rmm_importance,512,8,102,0.2,3.470478592493031,0.006353400007355958,79.2486069496964
5,rmm_uniform,512,9,3,0.005,31.35154585177251,0.002308800001628697,211.69611905059998
5,rmm_importance,512,9,3,0.005,5.565885654958227,0.0038327000220306218,127.52472074500095
5,rmm_uniform,512,9,5,0.01,7.754697534756518,0.0023781999479979277,205.51846383659912
5,rmm_importance,512,9,5,0.01,6.878884210485875,0.0039727999828755856,123.02758812816892
5,rmm_uniform,512,9,10,0.02,7.688475442509796,0.0030269999988377094,161.46812031598512
5,rmm_importance,512,9,10,0.02,2.8748379202303926,0.004255999985616654,114.84116580371575
5,rmm_uniform,512,9,26,0.05,6.012803896576364,0.002768399950582534,176.55107958875922
5,rmm_importance,512,9,26,0.05,1.6895826088352432,0.007700800022576004,63.46924976313266
5,rmm_uniform,512,9,51,0.1,2.1115990708031087,0.003878599964082241,126.0155737985384
5,rmm_importance,512,9,51,0.1,2.212877140698398,0.009160100016742945,53.3579326770936
5,rmm_uniform,512,9,102,0.2,1.5638835402998508,0.013030399975832552,37.5095162784967
5,rmm_importance,512,9,102,0.2,1.4098873302368307,0.00839909998467192,58.1924254861583
10,rmm_uniform,512,0,3,0.005,4.981921295111129,0.00214529997901991,230.79858521168333
10,rmm_importance,512,0,3,0.005,5.892976621299279,0.003817099961452186,129.71423463169666
10,rmm_uniform,512,0,5,0.01,2.6391085486145,0.0022953999578021467,215.7062861003709
10,rmm_importance,512,0,5,0.01,1.2453716094468434,0.004243500006850809,116.68014592037134
10,rmm_uniform,512,0,10,0.02,12.068671098886439,0.0028272000490687788,175.13164665356294
10,rmm_importance,512,0,10,0.02,1.6992100944046975,0.005206999951042235,95.08972626614742
10,rmm_uniform,512,0,26,0.05,1.3216320041473553,0.0027148000081069767,182.3825690783402
10,rmm_importance,512,0,26,0.05,2.069537217347127,0.004462500044610351,110.95399329137312
10,rmm_uniform,512,0,51,0.1,0.5217247720836845,0.003659799986053258,135.2894152410776
10,rmm_importance,512,0,51,0.1,0.906508212470065,0.005143999995198101,96.2543157998936
10,rmm_uniform,512,0,102,0.2,0.5342917385261245,0.003724499954842031,132.93924178163923
10,rmm_importance,512,0,102,0.2,0.9460637793824275,0.007416300009936094,66.76269829282644
10,rmm_uniform,512,1,3,0.005,6.716332350212181,0.002479199960362166,202.83966925876868
10,rmm_importance,512,1,3,0.005,9.126388446724244,0.00405520002823323,124.00870400597947
10,rmm_uniform,512,1,5,0.01,2.393977021785556,0.003695000021252781,136.097455235119
10,rmm_importance,512,1,5,0.01,12.317604757793346,0.00463600002694875,108.47284233455709
10,rmm_uniform,512,1,10,0.02,10.345627076405254,0.0021057999692857265,238.80715515291217
10,rmm_importance,512,1,10,0.02,4.897065231175759,0.0037807999760843813,133.00891429517685
10,rmm_uniform,512,1,26,0.05,4.626443344957228,0.0028030999819748104,179.40141387034308
10,rmm_importance,512,1,26,0.05,3.827713143318469,0.004958599980454892,101.41574274359614
10,rmm_uniform,512,1,51,0.1,1.8976917292960358,0.0032844000379554927,153.11170812775055
10,rmm_importance,512,1,51,0.1,2.113671566036191,0.004851599980611354,103.65242435400576
10,rmm_uniform,512,1,102,0.2,1.252114262881542,0.0064539999584667385,77.91758649246756
10,rmm_importance,512,1,102,0.2,1.7806206924853067,0.009115899971220642,55.1651621423921
10,rmm_uniform,512,2,3,0.005,16.337188920798127,0.0024018000112846494,198.46123645595856
10,rmm_importance,512,2,3,0.005,10.360115586305549,0.004125799983739853,115.53255170829003
10,rmm_uniform,512,2,5,0.01,9.97264986658645,0.002313300035893917,206.0537727762978
10,rmm_importance,512,2,5,0.01,14.205332970874535,0.0037329999613575637,127.68931285660672
10,rmm_uniform,512,2,10,0.02,5.865229737940607,0.002311999967787415,206.16963953319367
10,rmm_importance,512,2,10,0.02,6.592427337411384,0.004259300010744482,111.91139359919629
10,rmm_uniform,512,2,26,0.05,11.204228196352071,0.002698299998883158,176.6535226463999
10,rmm_importance,512,2,26,0.05,7.376348312251251,0.00407590001123026,116.94698070270167
10,rmm_uniform,512,2,51,0.1,3.76772063959437,0.002979900047648698,159.95979473727667
10,rmm_importance,512,2,51,0.1,2.5387590003067273,0.004913700046017766,97.00718307903064
10,rmm_uniform,512,2,102,0.2,2.7624371235973504,0.0039431999903172255,120.88258296053093
10,rmm_importance,512,2,102,0.2,1.8152877277307682,0.00882739998633042,53.998255510979476
10,rmm_uniform,512,3,3,0.005,8.195302136125814,0.003197800018824637,166.79861055922422
10,rmm_importance,512,3,3,0.005,7.404643599392128,0.006106599990744144,87.34624845162197
10,rmm_uniform,512,3,5,0.01,4.308254345190466,0.0028110999846830964,189.7437312413279
10,rmm_importance,512,3,5,0.01,2.3628297409107653,0.006195400026626885,86.09429539558181
10,rmm_uniform,512,3,10,0.02,1.1364748374600726,0.002425900020170957,219.87245787178887
10,rmm_importance,512,3,10,0.02,3.463319713800281,0.0050360000459477305,105.91513008730155
10,rmm_uniform,512,3,26,0.05,2.572070363613057,0.002741499978583306,194.56086235749075
10,rmm_importance,512,3,26,0.05,3.0283845444962725,0.004722699988633394,112.94145325131205
10,rmm_uniform,512,3,51,0.1,1.1809056991911349,0.0031792999943718314,167.76919476942842
10,rmm_importance,512,3,51,0.1,1.21393549336106,0.0050965999835170805,104.65577084943749
10,rmm_uniform,512,3,102,0.2,1.1906889140538144,0.00537069997517392,99.31454046061056
10,rmm_importance,512,3,102,0.2,1.2533166479476854,0.006295399973168969,84.72672145685989
10,rmm_uniform,512,4,3,0.005,40.832881587385714,0.0038666999898850918,164.1836195419498
10,rmm_importance,512,4,3,0.005,7.666816239349454,0.007455300015863031,85.15402447538719
10,rmm_uniform,512,4,5,0.01,15.539872616550857,0.0027537000132724643,230.54392161901046
10,rmm_importance,512,4,5,0.01,3.664578145746035,0.006991399975959212,90.804245530961
10,rmm_uniform,512,4,10,0.02,4.951046236236015,0.004315699974540621,147.10216274701318
10,rmm_importance,512,4,10,0.02,6.161469529134684,0.006630100018810481,95.7525223180652
10,rmm_uniform,512,4,26,0.05,3.7012090941245344,0.0034643999533727765,183.2492808470616
10,rmm_importance,512,4,26,0.05,2.61979695004166,0.006615300022531301,95.9667434371683
10,rmm_uniform,512,4,51,0.1,1.0136455674656977,0.0049486999632790685,128.28597505060634
10,rmm_importance,512,4,51,0.1,0.9929022270768364,0.00781539996387437,81.23049401907232
10,rmm_uniform,512,4,102,0.2,1.8562837859529833,0.004732500005047768,134.14660313682285
10,rmm_importance,512,4,102,0.2,1.7341717647818173,0.008936300000641495,71.04157201264307
10,rmm_uniform,512,5,3,0.005,12.74231095966061,0.002860999957192689,218.20021297371673
10,rmm_importance,512,5,3,0.005,10.402858201639624,0.005316999973729253,117.41034475487996
10,rmm_uniform,512,5,5,0.01,13.34284523581463,0.0028744000010192394,217.18299462701006
10,rmm_importance,512,5,5,0.01,12.70258564308151,0.005302600038703531,117.72918859063552
10,rmm_uniform,512,5,10,0.02,6.241058982198198,0.0036226999945938587,172.32197005240184
10,rmm_importance,512,5,10,0.02,8.603987059571319,0.00737539998954162,84.64229748385993
10,rmm_uniform,512,5,26,0.05,5.696258919532049,0.0037970999837853014,164.4072588667808
10,rmm_importance,512,5,26,0.05,3.713714053455595,0.005823399988003075,107.20039860962915
10,rmm_uniform,512,5,51,0.1,4.035854272762838,0.004497300018556416,138.81012994494935
10,rmm_importance,512,5,51,0.1,3.8375015656253764,0.006942200008779764,89.92405853875245
10,rmm_uniform,512,5,102,0.2,2.8464434614933403,0.004016099963337183,155.44204717914957
10,rmm_importance,512,5,102,0.2,1.3898724191548268,0.0084023000090383,74.29760890538486
10,rmm_uniform,512,6,3,0.005,15.148519149600496,0.0039058999973349273,164.1973681863383
10,rmm_importance,512,6,3,0.005,3.6725510490032893,0.008699700003489852,73.71961098706281
10,rmm_uniform,512,6,5,0.01,10.797255077100628,0.003423099988140166,187.35605217008927
10,rmm_importance,512,6,5,0.01,3.753098326443787,0.006647999980486929,96.47089377916129
10,rmm_uniform,512,6,10,0.02,2.8290473568596823,0.0033559000003151596,191.107750499476
10,rmm_importance,512,6,10,0.02,4.485381756179082,0.0063183000311255455,101.50491379042228
10,rmm_uniform,512,6,26,0.05,2.3020489529888506,0.004422500031068921,145.01718382270062
10,rmm_importance,512,6,26,0.05,2.1306052478834596,0.007022899982985109,91.32103568543455
10,rmm_uniform,512,6,51,0.1,1.051506074509854,0.004311199998483062,148.76101785746013
10,rmm_importance,512,6,51,0.1,2.1184723175822024,0.007640600029844791,83.93823750180637
10,rmm_uniform,512,6,102,0.2,1.9654360259990762,0.005800599989015609,110.56416597867478
10,rmm_importance,512,6,102,0.2,0.6401339195061518,0.00873839994892478,73.39312731277934
10,rmm_uniform,512,7,3,0.005,7.311708717238811,0.0032334999996237457,262.42514306690595
10,rmm_importance,512,7,3,0.005,10.298283788017685,0.005716599989682436,148.4364310148697
10,rmm_uniform,512,7,5,0.01,4.919798654434524,0.004095100041013211,207.2114701740358
10,rmm_importance,512,7,5,0.01,2.7259901471514163,0.005840700003318489,145.28253454654123
10,rmm_uniform,512,7,10,0.02,10.14792849551675,0.0032494000042788684,261.14104108165003
10,rmm_importance,512,7,10,0.02,3.1983165691974826,0.005779300001449883,146.82603425937765
10,rmm_uniform,512,7,26,0.05,5.263516814786518,0.004061000014189631,208.95141517930517
10,rmm_importance,512,7,26,0.05,1.4414163129188589,0.0061360999825410545,138.2884409351986
10,rmm_uniform,512,7,51,0.1,2.7014120911160284,0.00471750000724569,179.87317407626847
10,rmm_importance,512,7,51,0.1,1.94905557821499,0.006188600033055991,137.11529190376174
10,rmm_uniform,512,7,102,0.2,1.1074810065498735,0.006387799978256226,132.83942873861616
10,rmm_importance,512,7,102,0.2,0.9158563669547718,0.006792000029236078,124.93399534091898
10,rmm_uniform,512,8,3,0.005,2.35708715991982,0.002849699987564236,233.25013262020283
10,rmm_importance,512,8,3,0.005,6.049899630952385,0.005038500006776303,131.92277446327276
10,rmm_uniform,512,8,5,0.01,14.779155310458554,0.0028933000285178423,229.73521358849612
10,rmm_importance,512,8,5,0.01,6.120150041184483,0.004960999998729676,133.98365252919797
10,rmm_uniform,512,8,10,0.02,4.186027829995733,0.0030427000019699335,218.45495763526034
10,rmm_importance,512,8,10,0.02,7.321909671547479,0.005341100040823221,124.44868939857933
10,rmm_uniform,512,8,26,0.05,1.9189303402401798,0.0038739999872632325,171.57793035944673
10,rmm_importance,512,8,26,0.05,2.9997374162831143,0.006858800014015287,96.91096090699736
10,rmm_uniform,512,8,51,0.1,3.4908952653797134,0.004088599991519004,162.5722500136778
10,rmm_importance,512,8,51,0.1,1.8590922832707517,0.0075873000314459205,87.60598595973502
10,rmm_uniform,512,8,102,0.2,2.211023372597716,0.0050431000418029726,131.80244185469545
10,rmm_importance,512,8,102,0.2,2.394358230748105,0.010936400038190186,60.7780346097458
10,rmm_uniform,512,9,3,0.005,40.60513153599085,0.003039000032003969,214.60690790661332
10,rmm_importance,512,9,3,0.005,4.478770505981319,0.004903099965304136,133.0159296387129
10,rmm_uniform,512,9,5,0.01,4.816215946927293,0.0027168000233359635,240.05830182364505
10,rmm_importance,512,9,5,0.01,9.767538880798622,0.0048278000322170556,135.09059937119378
10,rmm_uniform,512,9,10,0.02,3.7675239861457515,0.0028336000395938754,230.16318142413127
10,rmm_importance,512,9,10,0.02,2.361712233274255,0.0054558999836444855,119.53855494997805
10,rmm_uniform,512,9,26,0.05,5.251111103702076,0.003067700017709285,212.5991447115076
10,rmm_importance,512,9,26,0.05,6.709689852347821,0.006105099979322404,106.82714487975615
10,rmm_uniform,512,9,51,0.1,0.8551945119405978,0.0033694999874569476,193.55702698449818
10,rmm_importance,512,9,51,0.1,2.1151964133326997,0.00733250001212582,88.94516180265089
10,rmm_uniform,512,9,102,0.2,2.000204985962224,0.004001600027550012,162.98240591421018
10,rmm_importance,512,9,102,0.2,2.263411607546042,0.007939299975987524,82.14709130137742
20,rmm_uniform,512,0,3,0.005,4.078924258397211,0.0034423000179231167,163.53345060991307
20,rmm_importance,512,0,3,0.005,9.415272588162455,0.004889999981969595,115.11885522314365
20,rmm_uniform,512,0,5,0.01,8.949011901143141,0.002637400000821799,213.4417228293496
20,rmm_importance,512,0,5,0.01,10.413370293223897,0.004706300038378686,119.61226342880212
20,rmm_uniform,512,0,10,0.02,8.788196150636184,0.0026786000235006213,210.15873778342117
20,rmm_importance,512,0,10,0.02,6.679619798190658,0.00459450000198558,122.52284246865905
20,rmm_uniform,512,0,26,0.05,2.5595112920362046,0.004286500043235719,131.32653546892234
20,rmm_importance,512,0,26,0.05,7.928804925921822,0.005313899950124323,105.93560384070885
20,rmm_uniform,512,0,51,0.1,4.391457953965982,0.003001100034452975,187.57495368465487
20,rmm_importance,512,0,51,0.1,2.198375819656726,0.005633900000248104,99.91856439424602
20,rmm_uniform,512,0,102,0.2,2.9814113297207356,0.0042347999988123775,132.92981961920358
20,rmm_importance,512,0,102,0.2,3.1884717203195203,0.008927499991841614,63.055861157095144
20,rmm_uniform,512,1,3,0.005,18.04804826551061,0.002657199976965785,217.8869129321862
20,rmm_importance,512,1,3,0.005,12.806294708306048,0.004736399976536632,122.23821951116281
20,rmm_uniform,512,1,5,0.01,3.752028401615422,0.003444200032390654,168.0997313105194
20,rmm_importance,512,1,5,0.01,5.981848344891713,0.004140399978496134,139.83409888694928
20,rmm_uniform,512,1,10,0.02,3.5295528494569055,0.002358499972615391,245.48191933304113
20,rmm_importance,512,1,10,0.02,6.058656450744531,0.004539400048088282,127.54308804935083
20,rmm_uniform,512,1,26,0.05,3.003314625743892,0.002767199999652803,209.22560714700552
20,rmm_importance,512,1,26,0.05,3.9762900212361627,0.004890000040177256,118.3985879892885
20,rmm_uniform,512,1,51,0.1,3.9488676393408637,0.007013299968093634,82.5530210683299
20,rmm_importance,512,1,51,0.1,0.9116928910252345,0.005862999998498708,98.74963332300925
20,rmm_uniform,512,1,102,0.2,2.410689468351691,0.00447450001956895,129.39302659346643
20,rmm_importance,512,1,102,0.2,0.7846519467668677,0.0067770000314339995,85.43147371094854
20,rmm_uniform,512,2,3,0.005,8.794530509779676,0.0026398999616503716,213.48202893841784
20,rmm_importance,512,2,3,0.005,3.5019479115253103,0.005079600028693676,110.94794803214197
20,rmm_uniform,512,2,5,0.01,13.04660724989815,0.003307499981019646,170.39189818342294
20,rmm_importance,512,2,5,0.01,4.6019703148765965,0.004519100009929389,124.70872491630885
20,rmm_uniform,512,2,10,0.02,4.373547372150784,0.002499900001566857,225.43749736163224
20,rmm_importance,512,2,10,0.02,4.914475793536381,0.004970099951606244,113.39232721576093
20,rmm_uniform,512,2,26,0.05,2.5834898218105526,0.003870300017297268,145.6143444923759
20,rmm_importance,512,2,26,0.05,1.409454901241191,0.006647399975918233,84.78069652033001
20,rmm_uniform,512,2,51,0.1,1.0463112952799745,0.003372600011061877,167.10288743376066
20,rmm_importance,512,2,51,0.1,1.6945702362709547,0.004995700030121952,112.811257002918
20,rmm_uniform,512,2,102,0.2,1.294376087925964,0.006496500049252063,86.74997240590436
20,rmm_importance,512,2,102,0.2,0.7335850691089663,0.005990799982100725,94.07277854233278
20,rmm_uniform,512,3,3,0.005,3.6365153734071862,0.0024914999958127737,233.30732528286612
20,rmm_importance,512,3,3,0.005,7.419257706742061,0.004743899975437671,122.53319061848919
20,rmm_uniform,512,3,5,0.01,2.5168227310595594,0.0027637999737635255,210.32100929279693
20,rmm_importance,512,3,5,0.01,2.9950294133159034,0.005869499989785254,99.03487536876504
20,rmm_uniform,512,3,10,0.02,2.1237560737319034,0.006459500000346452,89.9891941998875
20,rmm_importance,512,3,10,0.02,3.6207904438679446,0.0045829000300727785,126.83785292085442
20,rmm_uniform,512,3,26,0.05,2.9084147440245087,0.0036837999941781163,157.7949945393383
20,rmm_importance,512,3,26,0.05,2.30237852378831,0.006826199998613447,85.155020374941
20,rmm_uniform,512,3,51,0.1,3.1857106540697915,0.003162299981340766,183.81722271613665
20,rmm_importance,512,3,51,0.1,0.7610567508107551,0.0069426000118255615,83.72730662507244
20,rmm_uniform,512,3,102,0.2,1.4623291598353407,0.004171800042968243,139.3367836373492
20,rmm_importance,512,3,102,0.2,1.5647008223045742,0.009205600013956428,63.144737886077536
20,rmm_uniform,512,4,3,0.005,9.583951228808976,0.0028005000203847885,222.43449221969036
20,rmm_importance,512,4,3,0.005,8.045578710309606,0.005094999971333891,122.26257183519434
20,rmm_uniform,512,4,5,0.01,13.40797845521036,0.0024124999763444066,258.2084170377601
20,rmm_importance,512,4,5,0.01,11.244529601286683,0.00505980005254969,123.11312572156338
20,rmm_uniform,512,4,10,0.02,12.251744375460255,0.003501300001516938,177.9132892713105
20,rmm_importance,512,4,10,0.02,8.461645000474594,0.006124499952420592,101.7108016711344
20,rmm_uniform,512,4,26,0.05,8.043574120663266,0.005059400049503893,123.12285921264619
20,rmm_importance,512,4,26,0.05,2.065732865873503,0.006902599998284131,90.24538581844119
20,rmm_uniform,512,4,51,0.1,1.367808385865695,0.005321300006471574,117.06308594477674
20,rmm_importance,512,4,51,0.1,4.464118018031176,0.009883099992293864,63.029596025663764
20,rmm_uniform,512,4,102,0.2,2.770052247778567,0.005762699991464615,108.09651741686507
20,rmm_importance,512,4,102,0.2,1.0192921523431369,0.009857000026386231,63.196489634575
20,rmm_uniform,512,5,3,0.005,16.47874756322388,0.0033586000208742917,170.9704925843638
20,rmm_importance,512,5,3,0.005,36.06531815342266,0.007205000030808151,79.69764018145666
20,rmm_uniform,512,5,5,0.01,16.009938917691958,0.0037515999865718186,153.0604280888302
