experiment,rank,density,algo,trial,samples_needed,ratio_needed,target_error
rank_sweep,5,1.0,rmm_uniform,0,-1,-1.0,1.0
rank_sweep,5,1.0,rmm_importance,0,-1,-1.0,1.0
rank_sweep,5,1.0,rmm_uniform,0,205,0.4,2.0
rank_sweep,5,1.0,rmm_importance,0,102,0.2,2.0
rank_sweep,5,1.0,rmm_uniform,0,51,0.1,3.0
rank_sweep,5,1.0,rmm_importance,0,77,0.15,3.0
rank_sweep,5,1.0,rmm_uniform,1,77,0.15,1.0
rank_sweep,5,1.0,rmm_importance,1,205,0.4,1.0
rank_sweep,5,1.0,rmm_uniform,1,102,0.2,2.0
rank_sweep,5,1.0,rmm_importance,1,77,0.15,2.0
rank_sweep,5,1.0,rmm_uniform,1,26,0.05,3.0
rank_sweep,5,1.0,rmm_importance,1,26,0.05,3.0
rank_sweep,5,1.0,rmm_uniform,2,-1,-1.0,1.0
rank_sweep,5,1.0,rmm_importance,2,256,0.5,1.0
rank_sweep,5,1.0,rmm_uniform,2,77,0.15,2.0
rank_sweep,5,1.0,rmm_importance,2,77,0.15,2.0
rank_sweep,5,1.0,rmm_uniform,2,77,0.15,3.0
rank_sweep,5,1.0,rmm_importance,2,51,0.1,3.0
rank_sweep,5,1.0,rmm_uniform,3,-1,-1.0,1.0
rank_sweep,5,1.0,rmm_importance,3,-1,-1.0,1.0
rank_sweep,5,1.0,rmm_uniform,3,256,0.5,2.0
rank_sweep,5,1.0,rmm_importance,3,77,0.15,2.0
rank_sweep,5,1.0,rmm_uniform,3,205,0.4,3.0
rank_sweep,5,1.0,rmm_importance,3,77,0.15,3.0
rank_sweep,5,1.0,rmm_uniform,4,-1,-1.0,1.0
rank_sweep,5,1.0,rmm_importance,4,-1,-1.0,1.0
rank_sweep,5,1.0,rmm_uniform,4,-1,-1.0,2.0
rank_sweep,5,1.0,rmm_importance,4,-1,-1.0,2.0
rank_sweep,5,1.0,rmm_uniform,4,-1,-1.0,3.0
rank_sweep,5,1.0,rmm_importance,4,154,0.3,3.0
rank_sweep,10,1.0,rmm_uniform,0,-1,-1.0,1.0
rank_sweep,10,1.0,rmm_importance,0,-1,-1.0,1.0
rank_sweep,10,1.0,rmm_uniform,0,256,0.5,2.0
rank_sweep,10,1.0,rmm_importance,0,154,0.3,2.0
rank_sweep,10,1.0,rmm_uniform,0,102,0.2,3.0
rank_sweep,10,1.0,rmm_importance,0,51,0.1,3.0
rank_sweep,10,1.0,rmm_uniform,1,51,0.1,1.0
rank_sweep,10,1.0,rmm_importance,1,26,0.05,1.0
rank_sweep,10,1.0,rmm_uniform,1,10,0.02,2.0
rank_sweep,10,1.0,rmm_importance,1,26,0.05,2.0
rank_sweep,10,1.0,rmm_uniform,1,3,0.005,3.0
rank_sweep,10,1.0,rmm_importance,1,5,0.01,3.0
rank_sweep,10,1.0,rmm_uniform,2,-1,-1.0,1.0
rank_sweep,10,1.0,rmm_importance,2,-1,-1.0,1.0
rank_sweep,10,1.0,rmm_uniform,2,-1,-1.0,2.0
rank_sweep,10,1.0,rmm_importance,2,154,0.3,2.0
rank_sweep,10,1.0,rmm_uniform,2,205,0.4,3.0
rank_sweep,10,1.0,rmm_importance,2,154,0.3,3.0
rank_sweep,10,1.0,rmm_uniform,3,-1,-1.0,1.0
rank_sweep,10,1.0,rmm_importance,3,-1,-1.0,1.0
rank_sweep,10,1.0,rmm_uniform,3,77,0.15,2.0
