algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
naive_matmul,128,0,128,1.0,0.0,0.0027313000173307955,1.0
rmm_uniform,128,0,1,0.005,7.810663659828991,0.0001802999759092927,15.148643273834313
rmm_importance,128,0,1,0.005,11.035526181562416,0.00031970004783943295,8.543320640047483
rmm_uniform,128,0,1,0.01,13.674373796561815,0.00015879998682066798,17.199623702835936
rmm_importance,128,0,1,0.01,10.926245584041403,0.0004322000313550234,6.319527577931191
rmm_uniform,128,0,3,0.02,9.509319182330282,0.0001577000366523862,17.319590250643532
rmm_importance,128,0,3,0.02,6.152502547785122,0.00038510002195835114,7.092443161756526
rmm_uniform,128,0,6,0.05,3.7657868364014253,0.00012430001515895128,21.973448787098597
rmm_importance,128,0,6,0.05,4.0493350353116195,0.0002530000056140125,10.795652002861148
rmm_uniform,128,0,13,0.1,2.9655434054326295,0.00012250000145286322,22.29632640765129
rmm_importance,128,0,13,0.1,2.8356629935499074,0.00025949999690055847,10.525241040281944
rmm_uniform,128,0,26,0.2,2.0513814019784746,0.00026509998133406043,10.302905355127137
rmm_importance,128,0,26,0.2,2.3964716888598563,0.00023790000705048442,11.480874049537924
naive_matmul,128,1,128,1.0,0.0,0.0032755000283941627,1.0
rmm_uniform,128,1,1,0.005,9.40637721009694,0.0002391999587416649,13.693564353544438
rmm_importance,128,1,1,0.005,11.060169151419428,0.00025430001551285386,12.88045548006897
rmm_uniform,128,1,1,0.01,13.34195031856978,0.00022109999554231763,14.814563973011232
rmm_importance,128,1,1,0.01,11.297654575801783,0.0002514999941922724,13.023857272497724
rmm_uniform,128,1,3,0.02,5.5224856205253445,0.00014409999130293727,22.73074410884712
rmm_importance,128,1,3,0.02,6.541091749160579,0.0004067999543622136,8.051869213037488
rmm_uniform,128,1,6,0.05,4.028011910798656,0.00018450000789016485,17.753386928547496
rmm_importance,128,1,6,0.05,4.261171021006913,0.000368200009688735,8.895980288439345
rmm_uniform,128,1,13,0.1,2.977785282868641,0.0001881999778561294,17.404359265643155
rmm_importance,128,1,13,0.1,2.923266001439011,0.0003755000070668757,8.723035863514122
rmm_uniform,128,1,26,0.2,2.1541858879479205,0.00016840000171214342,19.450712559927275
rmm_importance,128,1,26,0.2,2.138333560453804,0.00046770001063123345,7.003420897881463
naive_matmul,128,2,128,1.0,0.0,0.0034073000424541533,1.0
rmm_uniform,128,2,1,0.005,6.343833076414055,0.00017640000442042947,19.315759393822002
rmm_importance,128,2,1,0.005,9.550720054148444,0.00026709999656304717,12.756645774234904
rmm_uniform,128,2,1,0.01,9.983579605475821,0.0001241000136360526,27.45608112861875
rmm_importance,128,2,1,0.01,9.705066625644806,0.00023830001009628177,14.298362979831523
rmm_uniform,128,2,3,0.02,9.33164911992085,0.0001254999660886824,27.149808471234508
rmm_importance,128,2,3,0.02,5.465858318924036,0.00039760000072419643,8.569668099215368
rmm_uniform,128,2,6,0.05,3.4564172674400835,0.0001857000170275569,18.348409962442428
rmm_importance,128,2,6,0.05,3.679655748429412,0.0003644000389613211,9.350438194700132
rmm_uniform,128,2,13,0.1,2.636011982840955,0.0001892000436782837,18.00898126772072
rmm_importance,128,2,13,0.1,2.667232993444618,0.00036399997770786285,9.360714975616746
rmm_uniform,128,2,26,0.2,2.0600223032995624,0.00022040004841983318,15.459615671062348
rmm_importance,128,2,26,0.2,1.8825727526697624,0.0002673999988473952,12.742333796338926
naive_matmul,128,3,128,1.0,0.0,0.0024271999718621373,1.0
rmm_uniform,128,3,1,0.005,9.893143799249643,0.00014070002362132072,17.25088531892994
rmm_importance,128,3,1,0.005,11.296065360120549,0.0005062000127509236,4.794942534022503
rmm_uniform,128,3,1,0.01,9.893143799249643,0.0001385000068694353,17.524908674916325
rmm_importance,128,3,1,0.01,11.252176940266985,0.0004092000308446586,5.931573286668583
rmm_uniform,128,3,3,0.02,5.61152479515986,0.00018959998851642013,12.80168839067167
rmm_importance,128,3,3,0.02,6.366353712802693,0.0002618000144138932,9.27119877092463
rmm_uniform,128,3,6,0.05,5.2181016542060705,0.0002066000015474856,11.748305680938062
rmm_importance,128,3,6,0.05,4.839027166238283,0.00036810000892728567,6.593860127674176
rmm_uniform,128,3,13,0.1,3.052947322924385,0.0001922000083141029,12.628511274023909
rmm_importance,128,3,13,0.1,3.087232808632135,0.00036910001654177904,6.575995294184438
rmm_uniform,128,3,26,0.2,2.1739783757650213,0.00016200001118704677,14.982714841048184
rmm_importance,128,3,26,0.2,2.0627904449451657,0.00041879998752847314,5.795606600148521
naive_matmul,128,4,128,1.0,0.0,0.0026047000428661704,1.0
rmm_uniform,128,4,1,0.005,6.490869588781302,0.00012129999231547117,21.473208638727627
rmm_importance,128,4,1,0.005,10.951160279349285,0.00044050003634765744,5.913052957867303
rmm_uniform,128,4,1,0.01,11.29397414325188,0.00019829999655485153,13.135149208868933
rmm_importance,128,4,1,0.01,11.251213756714142,0.00023970002075657248,10.866499029265313
rmm_uniform,128,4,3,0.02,6.308945232717138,0.00013350002700462937,19.51085779762312
rmm_importance,128,4,3,0.02,7.1297684719808565,0.0006452000234276056,4.037042697284448
rmm_uniform,128,4,6,0.05,5.5437294923875475,0.00018209998961538076,14.30368034818476
rmm_importance,128,4,6,0.05,4.491993660167702,0.000242499983869493,10.741031819069935
rmm_uniform,128,4,13,0.1,2.9251553310873795,0.00014579994603991508,17.864890307662336
rmm_importance,128,4,13,0.1,3.1786401471552366,0.00024100003065541387,10.807882620523053
rmm_uniform,128,4,26,0.2,2.085872184083602,0.0001666999887675047,15.6250762949896
rmm_importance,128,4,26,0.2,2.418128820596906,0.0002443999983370304,10.657528889481657
naive_matmul,256,0,256,1.0,0.0,0.017333899973891675,1.0
rmm_uniform,256,0,1,0.005,15.330428824538423,0.0004862999776378274,35.644459738801636
rmm_importance,256,0,1,0.005,16.090797010360955,0.0009319999953731894,18.59860521453208
rmm_uniform,256,0,3,0.01,8.955105495264705,0.000508100027218461,34.11513293707983
rmm_importance,256,0,3,0.01,9.295844631430757,0.0008653000113554299,20.032242859605855
rmm_uniform,256,0,5,0.02,6.416074453962685,0.00048719998449087143,35.578613558466685
rmm_importance,256,0,5,0.02,7.124593818116015,0.0012916999985463917,13.419447234960359
rmm_uniform,256,0,13,0.05,4.435629321224419,0.0005871000466868281,29.524610109830142
rmm_importance,256,0,13,0.05,4.6820365241036335,0.0009388999897055328,18.461923702148624
rmm_uniform,256,0,26,0.1,3.5831853243413305,0.0005372000159695745,32.26712482985745
rmm_importance,256,0,26,0.1,3.2133767481659965,0.0010725000174716115,16.16214423451093
rmm_uniform,256,0,51,0.2,2.3213238814964114,0.0006645999965257943,26.08170337722672
rmm_importance,256,0,51,0.2,2.342179916103824,0.0011810999712906778,14.676065020092757
naive_matmul,256,1,256,1.0,0.0,0.01625629997579381,1.0
rmm_uniform,256,1,1,0.005,15.272417433969892,0.0004898000042885542,33.189668912736046
rmm_importance,256,1,1,0.005,15.985318629194818,0.000679599994327873,23.92039451364527
rmm_uniform,256,1,3,0.01,9.291143353010668,0.00045759999193251133,35.5251316922911
rmm_importance,256,1,3,0.01,9.223453901927135,0.0007252000505104661,22.41629735733064
rmm_uniform,256,1,5,0.02,6.8363651212340475,0.0005136999534443021,31.645515766153167
rmm_importance,256,1,5,0.02,7.08081788058308,0.000645000021904707,25.203564998011014
rmm_uniform,256,1,13,0.05,4.558676569636761,0.0006580000044777989,24.705622895390572
rmm_importance,256,1,13,0.05,4.236401169405122,0.0008387999841943383,19.380424752162906
rmm_uniform,256,1,26,0.1,2.9462831357192765,0.0007179999956861138,22.641086453293703
rmm_importance,256,1,26,0.1,3.061115457321571,0.0013221999979577959,12.294887309712962
rmm_uniform,256,1,51,0.2,2.0572995306841353,0.0009182000067085028,17.704530447639858
