density,sparsity_pct,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
0.1,90.0,rmm_uniform,512,0,3,0.005,13.491771601030116,0.0026268999790772796,189.41988805267863
0.1,90.0,rmm_importance,512,0,3,0.005,12.856301025982852,0.005106600001454353,97.43999918158656
0.1,90.0,rmm_uniform,512,0,5,0.01,9.736328665887774,0.0024568000226281583,202.53463667348433
0.1,90.0,rmm_importance,512,0,5,0.01,9.925952423719067,0.0050975000485777855,97.61394707612217
0.1,90.0,rmm_uniform,512,0,10,0.02,7.058055237603954,0.002925200038589537,170.103614589834
0.1,90.0,rmm_importance,512,0,10,0.02,6.9686991757571555,0.005557399999815971,89.53595206011433
0.1,90.0,rmm_uniform,512,0,26,0.05,4.2834439102485495,0.003931599960196763,126.56096881675103
0.1,90.0,rmm_importance,512,0,26,0.05,4.4450637206649315,0.006391100003384054,77.85625318003667
0.1,90.0,rmm_uniform,512,0,51,0.1,3.325349142686304,0.007952800020575523,62.56753579557418
0.1,90.0,rmm_importance,512,0,51,0.1,3.274933935497305,0.007379600021522492,67.42738068610723
0.1,90.0,rmm_uniform,512,0,102,0.2,2.3088843402431944,0.004672400013078004,106.49497015873223
0.1,90.0,rmm_importance,512,0,102,0.2,2.2453460281851236,0.013006699969992042,38.25621419040902
0.1,90.0,rmm_uniform,512,1,3,0.005,13.510751664527472,0.0028528000111691654,189.9691874214241
0.1,90.0,rmm_importance,512,1,3,0.005,12.865878720167085,0.006592900026589632,82.20117062475346
0.1,90.0,rmm_uniform,512,1,5,0.01,12.17855632994597,0.0030104999896138906,180.01797105707433
0.1,90.0,rmm_importance,512,1,5,0.01,9.90703244683538,0.006863600050564855,78.9591607909956
0.1,90.0,rmm_uniform,512,1,10,0.02,7.210398017414729,0.002736700000241399,198.0283187597589
0.1,90.0,rmm_importance,512,1,10,0.02,6.984086258611786,0.006825099990237504,79.40456561410421
0.1,90.0,rmm_uniform,512,1,26,0.05,4.629207381257537,0.00375729997176677,144.2376451361165
0.1,90.0,rmm_importance,512,1,26,0.05,4.263399693739807,0.006520099996123463,83.11898595418012
0.1,90.0,rmm_uniform,512,1,51,0.1,3.0773398941463395,0.0047101000091061,115.05999850319274
0.1,90.0,rmm_importance,512,1,51,0.1,3.1617780070037282,0.007926299993414432,68.37289787768698
0.1,90.0,rmm_uniform,512,1,102,0.2,2.162410188123776,0.0058246999979019165,93.04240565056512
0.1,90.0,rmm_importance,512,1,102,0.2,2.2427799164863753,0.008505699981469661,63.71540275089692
0.1,90.0,rmm_uniform,512,2,3,0.005,11.763323794917113,0.005124899966176599,114.68536047390525
0.1,90.0,rmm_importance,512,2,3,0.005,12.822432357456975,0.004511800012551248,130.26973677437394
