matrix_type,m,n,rank,oversampling,power_iter,trial,rel_error,baseline_error,runtime_sec,baseline_runtime_sec,speedup
Dense Gaussian,1024,1024,64,0,0,0,0.9371338831410445,0.88886742628618,0.10289989999728277,1.1823514999705367,11.490307570772746
Dense Gaussian,1024,1024,64,0,1,0,0.9134793481269465,0.88886742628618,0.09521980001591146,1.1896510000224225,12.493735544746249
Dense Gaussian,1024,1024,64,0,2,0,0.903694881292296,0.88886742628618,0.10675289999926463,1.1677649000193924,10.93895247836299
Dense Gaussian,1024,1024,64,5,0,0,0.9359676148586111,0.88886742628618,0.09636179998051375,1.1224707000073977,11.648502832391916
Dense Gaussian,1024,1024,64,5,1,0,0.9120307571145869,0.88886742628618,0.09945699997479096,1.1806937000364996,11.871398698289374
Dense Gaussian,1024,1024,64,5,2,0,0.9023832445686276,0.88886742628618,0.13932030001888052,1.0957381000043824,7.864884728613772
Dense Gaussian,1024,1024,64,10,0,0,0.9351338338916996,0.88886742628618,0.11431900004390627,1.2349500000127591,10.802666219425069
Dense Gaussian,1024,1024,64,10,1,0,0.9109512278548515,0.88886742628618,0.11175579996779561,1.316324400017038,11.778577938651594
Dense Gaussian,1024,1024,64,10,2,0,0.9018461007982769,0.88886742628618,0.1296557000023313,1.153435799991712,8.896144172380948
Dense Gaussian,1024,1024,64,20,0,0,0.9328838685950502,0.88886742628618,0.15933290001703426,1.3555702000157908,8.507785899025668
Dense Gaussian,1024,1024,64,20,1,0,0.9088349405569404,0.88886742628618,0.1461241000215523,1.3361703000264242,9.144078901627783
Dense Gaussian,1024,1024,64,20,2,0,0.8995149714614461,0.88886742628618,0.14948540000477806,1.2571882000193,8.41010694006984
Dense Gaussian,1024,1024,64,0,0,1,0.9376897344333791,0.8889283991632931,0.09614430001238361,1.1224098000093363,11.674220935248032
Dense Gaussian,1024,1024,64,0,1,1,0.9134258957376925,0.8889283991632931,0.1046840000199154,1.1735858999891207,11.210747580966089
Dense Gaussian,1024,1024,64,0,2,1,0.9037072403512039,0.8889283991632931,0.0956364999874495,1.1280891000060365,11.79559164287774
Dense Gaussian,1024,1024,64,5,0,1,0.9356135767013481,0.8889283991632931,0.11156009999103844,1.10551470000064,9.909588644053253
Dense Gaussian,1024,1024,64,5,1,1,0.912201257282768,0.8889283991632931,0.11615539999911562,1.136524100031238,9.78451367771013
Dense Gaussian,1024,1024,64,5,2,1,0.9024947234570422,0.8889283991632931,0.11444770003436133,1.2612048999872059,11.019923507493349
Dense Gaussian,1024,1024,64,10,0,1,0.9349203929580819,0.8889283991632931,0.11387439997633919,1.239063500019256,10.880966224864487
Dense Gaussian,1024,1024,64,10,1,1,0.9110510923136553,0.8889283991632931,0.12559019995387644,1.1511035999865271,9.165552729506562
Dense Gaussian,1024,1024,64,10,2,1,0.9017923495271845,0.8889283991632931,0.11590810003690422,1.087937599979341,9.386208553439754
Dense Gaussian,1024,1024,64,20,0,1,0.9327940246630442,0.8889283991632931,0.12314939999487251,1.1915208999998868,9.675409706011537
Dense Gaussian,1024,1024,64,20,1,1,0.909313310067554,0.8889283991632931,0.12699600000632927,1.141746899986174,8.990416233025222
Dense Gaussian,1024,1024,64,20,2,1,0.8997039759186529,0.8889283991632931,0.12725710001541302,1.071665800001938,8.42126529578421
Dense Gaussian,1024,1024,64,0,0,2,0.9372697120748686,0.8891036737947188,0.08391300000948831,1.065643900015857,12.699389842996451
Dense Gaussian,1024,1024,64,0,1,2,0.9137254426104595,0.8891036737947188,0.09863469999982044,1.1288448999985121,11.444703537401818
Dense Gaussian,1024,1024,64,0,2,2,0.9043369386415782,0.8891036737947188,0.10193830000935122,1.1931668000179343,11.704793977420461
Dense Gaussian,1024,1024,64,5,0,2,0.9364338976966362,0.8891036737947188,0.09862539998721331,1.16407389997039,11.802982802820683
Dense Gaussian,1024,1024,64,5,1,2,0.9123016084945368,0.8891036737947188,0.10896049998700619,1.180549799988512,10.834658432453004
Dense Gaussian,1024,1024,64,5,2,2,0.902817721324031,0.8891036737947188,0.13593119999859482,1.4548197999829426,10.702618677669157
Dense Gaussian,1024,1024,64,10,0,2,0.9353638080550919,0.8891036737947188,0.12845029996242374,1.3143336999928579,10.232235349994099
Dense Gaussian,1024,1024,64,10,1,2,0.9111580182872174,0.8891036737947188,0.13795120001304895,1.2822220000089146,9.29475060664661
Dense Gaussian,1024,1024,64,10,2,2,0.9018773318477178,0.8891036737947188,0.17246699996758252,1.2622890999773517,7.31901813224916
Dense Gaussian,1024,1024,64,20,0,2,0.9332401716604992,0.8891036737947188,0.1733525000163354,1.615086700010579,9.316777663191392
Dense Gaussian,1024,1024,64,20,1,2,0.9095902059546285,0.8891036737947188,0.15409399999771267,1.4623628000263125,9.490069698028602
Dense Gaussian,1024,1024,64,20,2,2,0.900446027308946,0.8891036737947188,0.1564352000132203,1.304735699959565,8.340422742766986
Dense Gaussian,1024,1024,64,0,0,3,0.9372811766753933,0.8890248433592566,0.11468699999386445,1.2999298999784514,11.334588053118448
Dense Gaussian,1024,1024,64,0,1,3,0.9135344935642647,0.8890248433592566,0.0949978000135161,1.2785582999931648,13.45882009700492
Dense Gaussian,1024,1024,64,0,2,3,0.9037165923970326,0.8890248433592566,0.09890629997244105,1.158331000013277,11.711397558457154
Dense Gaussian,1024,1024,64,5,0,3,0.9355978331493797,0.8890248433592566,0.09767970000393689,1.2227817999664694,12.518279641698186
