matrix_type,algo,m,n,rank,oversampling,power_iter,trial,rel_error,baseline_error,runtime_sec,baseline_runtime_sec,speedup
Dense Gaussian,rsvd,1024,1024,16,10,1,0,0.9770904411547477,0.9703033993093809,0.029093899996951222,1.0196961000328884,35.04845002353563
Dense Gaussian,rsvd,1024,1024,32,10,1,0,0.954905571738786,0.942058908433201,0.05147100001340732,1.1173574999556877,21.708486325593732
Dense Gaussian,rsvd,1024,1024,64,10,1,0,0.9110610538264469,0.8886470226734217,0.0944825000478886,1.088854099973105,11.524399750442859
Dense Gaussian,rsvd,1024,1024,128,10,1,0,0.8249989035179759,0.7899432079898541,0.2511497000232339,1.1655697000096552,4.640936062841517
Dense Gaussian,rsvd,1024,1024,256,10,1,0,0.6607510110961804,0.6141191645876679,0.44508309999946505,1.1961052000406198,2.6873750093905104
Dense Gaussian,rsvd,1024,1024,16,10,1,1,0.9772298777488956,0.9703236904164282,0.0291286000283435,1.187932400032878,40.782337595248784
Dense Gaussian,rsvd,1024,1024,32,10,1,1,0.9547584826811738,0.9422308051921967,0.05218480003532022,1.2001308999606408,22.997710044847476
Dense Gaussian,rsvd,1024,1024,64,10,1,1,0.9111325999078419,0.8888198641501533,0.11462089995620772,1.15738509997027,10.09750490889936
Dense Gaussian,rsvd,1024,1024,128,10,1,1,0.8252445632630764,0.7899872504327643,0.3173259999603033,1.540768900013063,4.855476387707939
Dense Gaussian,rsvd,1024,1024,256,10,1,1,0.6604425757526784,0.6140721324446933,0.49800870002945885,1.1602111000102013,2.3297004649548714
Dense Gaussian,rsvd,1024,1024,16,10,1,2,0.9767922717530166,0.9700710316901885,0.027559999958612025,1.1908349000150338,43.20881356325686
Dense Gaussian,rsvd,1024,1024,32,10,1,2,0.9544799228842713,0.9419573712904259,0.05664349999278784,1.1113435000297613,19.61996522409921
Dense Gaussian,rsvd,1024,1024,64,10,1,2,0.9109398203816941,0.8884818840177117,0.11306569998851046,1.2354832999990322,10.927127326188046
Dense Gaussian,rsvd,1024,1024,128,10,1,2,0.8245642275800383,0.7894156921689435,0.320637299970258,1.5162141000037082,4.7287514588737825
Dense Gaussian,rsvd,1024,1024,256,10,1,2,0.6597329218507892,0.6134057683844055,0.4687982000177726,1.3287418000400066,2.834357725754136
Dense Gaussian,rsvd,1024,1024,16,10,1,3,0.9771240365887374,0.9703930133143817,0.025485599995590746,1.1175690999953076,43.851002141941244
Dense Gaussian,rsvd,1024,1024,32,10,1,3,0.9548341070189552,0.9422999412888784,0.053581400017719716,1.0746738000307232,20.056844346644947
Dense Gaussian,rsvd,1024,1024,64,10,1,3,0.9109358850548255,0.8889010326159222,0.10081599996192381,1.0800028999801725,10.712614073044637
Dense Gaussian,rsvd,1024,1024,128,10,1,3,0.8254157103408045,0.7900749981829936,0.22646540001733229,1.0894271000288427,4.810567530163391
Dense Gaussian,rsvd,1024,1024,256,10,1,3,0.6609635288105131,0.6141988669788847,0.4559321000124328,1.0356804999755695,2.2715674109090536
Dense Gaussian,rsvd,1024,1024,16,10,1,4,0.9771147099514198,0.9702999939980648,0.026467699964996427,1.2064246000372805,45.58101390119953
Dense Gaussian,rsvd,1024,1024,32,10,1,4,0.9547435713851746,0.9422194955636296,0.04951640003127977,1.1484236999531277,23.192794694841755
Dense Gaussian,rsvd,1024,1024,64,10,1,4,0.911379979730021,0.8888759452532288,0.10339379997458309,1.1540857999934815,11.162040666627846
Dense Gaussian,rsvd,1024,1024,128,10,1,4,0.8255674935863422,0.7901482672181442,0.24135309999110177,1.3191000999649987,5.4654367398373225
Dense Gaussian,rsvd,1024,1024,256,10,1,4,0.6607609479448138,0.6140492455820357,0.5149607000057586,1.3076129999826662,2.5392481406213014
Low-Rank (r=20),rsvd,1024,1024,16,10,1,0,0.005720950056392607,0.005720950056392606,0.03619110002182424,1.071073399973102,29.594939068644358
Low-Rank (r=20),rsvd,1024,1024,32,10,1,0,5.753318072096174e-12,2.4425079126256406e-15,0.0579382999567315,1.0907813999801874,18.82660348672271
Low-Rank (r=20),rsvd,1024,1024,64,10,1,0,1.5086489046453635e-12,2.501737693642831e-15,0.10042339999927208,1.0262757999589667,10.219488684573571
Low-Rank (r=20),rsvd,1024,1024,128,10,1,0,1.8203303316767648e-12,2.614936878242192e-15,0.2357274999958463,0.9246423000004143,3.922505011153587
Low-Rank (r=20),rsvd,1024,1024,256,10,1,0,8.896988780735881e-13,2.8124965026776243e-15,0.4370242999866605,0.9076355000142939,2.0768536212791786
Low-Rank (r=20),rsvd,1024,1024,16,10,1,1,0.005720950056392606,0.005720950056392606,0.024696600041352212,0.9340718000312336,37.82187825316907
Low-Rank (r=20),rsvd,1024,1024,32,10,1,1,5.403014747435162e-12,4.9636856018324166e-15,0.05103740002959967,0.8184090000577271,16.03547593692238
Low-Rank (r=20),rsvd,1024,1024,64,10,1,1,2.45055464263784e-12,4.988752061649862e-15,0.09368509997148067,0.8482745999936014,9.054530552369913
Low-Rank (r=20),rsvd,1024,1024,128,10,1,1,1.4168231151983159e-12,5.0381387366090945e-15,0.20559099997626618,0.8894215000327677,4.326169434145679
Low-Rank (r=20),rsvd,1024,1024,256,10,1,1,6.865251418322601e-13,5.128573355167848e-15,0.38233420002507046,0.8370915000559762,2.1894235462092753
Low-Rank (r=20),rsvd,1024,1024,16,10,1,2,0.005720950056392607,0.005720950056392607,0.02461530000437051,0.8250009999610484,33.51578082796339
Low-Rank (r=20),rsvd,1024,1024,32,10,1,2,5.3962520511612284e-12,2.4826776696671322e-15,0.04848800000036135,0.840171999996528,17.32742121742012
Low-Rank (r=20),rsvd,1024,1024,64,10,1,2,1.9231072341422553e-12,2.5417035112485554e-15,0.09517600003164262,0.8862333999713883,9.311521808825201
Low-Rank (r=20),rsvd,1024,1024,128,10,1,2,1.986973657428905e-12,2.6542118711727445e-15,0.21976519998861477,0.8738563000224531,3.9763179068739016
Low-Rank (r=20),rsvd,1024,1024,256,10,1,2,8.126415948797848e-13,2.8509940244508557e-15,0.422090100008063,1.033597200002987,2.448759636824561
Low-Rank (r=20),rsvd,1024,1024,16,10,1,3,0.005720950056392607,0.005720950056392607,0.02577840001322329,0.8790030000382103,34.09843122875419
Low-Rank (r=20),rsvd,1024,1024,32,10,1,3,3.6204067727291247e-12,9.600124659332033e-15,0.047837499994784594,0.9039673000224866,18.896625035192898
Low-Rank (r=20),rsvd,1024,1024,64,10,1,3,1.6630948706312861e-12,9.615463570593142e-15,0.09519649995490909,0.8694920999696478,9.133656178341564
Low-Rank (r=20),rsvd,1024,1024,128,10,1,3,1.7034745655186571e-12,9.645408651412047e-15,0.20737700001336634,0.8753434999962337,4.221024992838232
Low-Rank (r=20),rsvd,1024,1024,256,10,1,3,6.60864389836962e-13,9.701339850751342e-15,0.4104504000279121,0.8772291999775916,2.1372355829545713
Low-Rank (r=20),rsvd,1024,1024,16,10,1,4,0.005720950056392605,0.005720950056392604,0.028190900047775358,0.8583899000077508,30.44918390519743
Low-Rank (r=20),rsvd,1024,1024,32,10,1,4,4.445413954432021e-12,2.0745326123203927e-15,0.044952600030228496,0.8090971999918111,17.99889660326058
Low-Rank (r=20),rsvd,1024,1024,64,10,1,4,1.8946134022436265e-12,2.118959936421822e-15,0.09648459998425096,0.8675887999706902,8.991992505667282
Low-Rank (r=20),rsvd,1024,1024,128,10,1,4,1.6785209205134048e-12,2.19541267531653e-15,0.21034559997497126,0.8293523999745958,3.942808407084718
Low-Rank (r=20),rsvd,1024,1024,256,10,1,4,7.375069014289437e-13,2.3326738684912402e-15,0.42907149996608496,0.8852487999829464,2.063173154247996
