matrix_type,m,n,rank,oversampling,power_iter,trial,rel_error,baseline_error,runtime_sec,baseline_runtime_sec,speedup
Dense Gaussian,256,256,64,10,1,0,0.6494344858407551,0.6130515972620867,0.07153959997231141,0.10434750001877546,1.458597756475602
Dense Gaussian,256,256,64,10,1,1,0.6471975777416288,0.6101958506378999,0.06700079998699948,0.09249489998910576,1.380504411992887
Dense Gaussian,256,256,64,10,1,2,0.6531754459561585,0.6154354268672271,0.06577619997551665,0.08604159997776151,1.3080962416464936
Dense Gaussian,256,256,64,10,1,3,0.6482909336272419,0.612541102199455,0.06935910001629964,0.08683620003284886,1.2519799134135543
Dense Gaussian,256,256,64,10,1,4,0.6526180019577457,0.6145121610340945,0.06786300003295764,0.08801090001361445,1.2968907942600825
Dense Gaussian,512,512,64,10,1,0,0.8234113382103737,0.7908492923628542,0.10304289998020977,0.30323280004085973,2.9427820849286856
Dense Gaussian,512,512,64,10,1,1,0.8222044369316509,0.7903513502851284,0.10508130001835525,0.30609929998172447,2.9129759522222893
Dense Gaussian,512,512,64,10,1,2,0.8218501048446126,0.7901917506021258,0.10616370005300269,0.28744829999050125,2.707594967460549
Dense Gaussian,512,512,64,10,1,3,0.8218443078258733,0.7900819748067794,0.09935490001225844,0.28300840000156313,2.8484594113289377
Dense Gaussian,512,512,64,10,1,4,0.8226558482998546,0.7900034586154635,0.10533980000764132,0.26446939999004826,2.5106313090670738
Dense Gaussian,1024,1024,64,10,1,0,0.9114993023421717,0.8890835164909893,0.12821410002652556,1.3306791000068188,10.378570685529294
Dense Gaussian,1024,1024,64,10,1,1,0.9108605237840237,0.8888795728830284,0.12165990000357851,1.3493090000119992,11.090827791016682
Dense Gaussian,1024,1024,64,10,1,2,0.9111771152327797,0.8887085976028216,0.12751019996358082,1.2533217000309378,9.82918778567447
Dense Gaussian,1024,1024,64,10,1,3,0.9110933491154631,0.888814878218242,0.13757489999989048,1.3640276999794878,9.914800592117993
Dense Gaussian,1024,1024,64,10,1,4,0.9108213466745942,0.8888390283301364,0.13675429997965693,1.3059043000102974,9.549274137665572
Dense Gaussian,2048,2048,64,10,1,0,0.9555214965047306,0.9421536112867399,0.2343849999597296,6.7605317999841645,28.843705020140845
Dense Gaussian,2048,2048,64,10,1,1,0.9555565168815491,0.9422514803728274,0.2572080999962054,7.144722199998796,27.77798288663616
Dense Gaussian,2048,2048,64,10,1,2,0.9554992525478568,0.9421249265940546,0.22227480000583455,7.0057326999958605,31.518339909931154
Dense Gaussian,2048,2048,64,10,1,3,0.9554253761340818,0.9422380974094402,0.2121424999786541,7.096192000026349,33.450119616485956
Dense Gaussian,2048,2048,64,10,1,4,0.9556007306892609,0.9422755058596798,0.2020578000228852,7.023714300012216,34.76091642696647
